Comment,Compound,Positive,Negative,Neutral
This has to be the most convoluted election America has ever seen😮,0.0,0.0,0.0,1.0
"Great pick, President Donald Trump! Matt Gates is an awesome person for this position.  Looking forward to seeing what he is going to do!",0.8684,0.285,0.0,0.715
"Well let's hope that it's better than it is worse. Finally some government corruption might actually get charged. Did Biden's department of justice think they what, could just go after Trump forever with no recourse?",0.6369,0.244,0.153,0.603
Don't Miss Return New Episode of Spongebob Squarepants Season 15 Coming December on Nickelodeon,0.1139,0.1,0.0,0.9
"Talk  about being caught off guard

The whole left of Centre political class",0.0,0.0,0.0,1.0
Thinking stinking? Trump wants him to do what Trump wants...to do his job! That enough to put everyone on notice?,-0.6189,0.0,0.176,0.824
"Matt gaetz for attorney general 
Is he qualified ?

Obviously not
But the cadre … like a Mexican cartel",0.5023,0.178,0.0,0.822
“Raised some eyebrows “ 😂😂😂😂😂,0.0,0.0,0.0,1.0
Perfect choice.  What is needed for our next AG is a WRECKING BALL.  And that wrecking ball is named Matt Gaetz.,0.5719,0.163,0.0,0.837
"Who does Murkowski ot these smug blowhards think they are???? Trump is dead serious and Matt Gaetz is our next Attornet General!!!!!!!!!!!! Merrick Garland, YOU'RE FIRED!!!🧡💯",-0.7862,0.055,0.238,0.707
"Gaetz will not pass Confirmation in Swnate . Many are against this pick as ludicrous Gaetz is extremely under qualified ,inexperienced for a Huge task . Doesn’t have the appropriate amount of Legal Experience and has a dark and shady reputation for this post hanging over him .",0.0772,0.082,0.054,0.864
GAETZ  IS  PERFECT!  😂,0.6114,0.666,0.0,0.334
Matt Gaetz is the way to go for Attorney General !,0.0,0.0,0.0,1.0
"All this idiots who told us that Biden it’s fit to run the country and Kamala is capable now tell us how bad Gaetz is bed yet we believe you,",0.1531,0.143,0.098,0.758
Do people really not understand the power of recess appointments or the power to adjourn congress at any time  JD Vance can also come in and tske Thines sest at any point.  They can't stop Trump,0.2235,0.051,0.0,0.949
"No one believes this lady. 😂 The idea that he made a spur of the moment to discredit the pick is exactly why these networks are losing viewers. If these pundits were smart they’d be more discreet. These people are blowing their cover just as they did with the “threat to democracy” talk. They are projecting and gas lighting and due to how much credibility they’ve lost, they are only highlighting that these are actually good picks for Americans and bad picks for the politicians opposed to the pick. They will never learn 🤦🏽‍♂️",-0.6124,0.055,0.104,0.841
"Let’s all say a prayer for ABC. They had a great run.
Jesus love you🕊",0.8519,0.43,0.0,0.57
"If Gaetz doesn't get confirmed, tell 47 to prepare Mike Davis as AG! They cannot say NO twice...( They would beg 47 to renominate Gaetz in 2 seconds) !!!",0.5571,0.118,0.0,0.882
Max Payne as attorney general. what a year,0.0,0.0,0.0,1.0
He's the perfect pick the DOJ and their dogs tried to destroy him with false accusations by liars paid to give false witnesses after he destroyed Mayorkas and Garland under oath. The ethics investigation was based on the DOJs swamp monster war against him the R RINOS jumped at the chance to use the ethics committee because he got rid of McCarthy.  😂😂😂,-0.891,0.074,0.212,0.714
Open votes ! No secret government please ! Expose the corrupt!,-0.3348,0.177,0.36,0.462
Haha were they on tbe plane ? Hahaha she was in “another part of the plane “lol I’m dying,0.765,0.292,0.0,0.708
😮🤔🤔Trump is like Heavy weight champ who is unbeaten and delivers knockouts to every opponent!!  HE is the Political MIKE TYSON!🥊🥊🥊🥊🥊🥊🥊🥊,0.7562,0.254,0.0,0.746
The fact theyre this upset over this pick says its the right one.,-0.4588,0.0,0.2,0.8
"ABC , All Bull Crap 💩",-0.3818,0.0,0.464,0.536
For you don’t call  Trump… is President Trump!! OKkkk,0.0,0.0,0.0,1.0
ABC YOUR STILL SO WRONG,-0.5256,0.0,0.459,0.541
We need more like  Gaetz and Green!! So tired of these spineless politicians!,-0.3129,0.156,0.228,0.616
"Uh oh, Matt! Here comes the House Ethics committee! But wait! Your ass got saved just in the Nick of time by Trump. We’d better make you Attorney General. Damn clown car cabinet.",-0.3871,0.165,0.201,0.634
"Matt Gaetz says in House hearings against present A.G.  --- Sir I can read your Mind & this or that is what you think, and this is what you are aware of.  And now let me
tell you I know what  you wouldn't yourself do, but I do know what books you have read.  Also do you know where my Aunt had dinner 9 weeks ago?  And shut up, no OR
Yes?  Why is it U do not know that, and reply to the words I put in your mouth.  Why do you deny what I say you think, Why are U ignoring my ""If,""s Questions too?",-0.7536,0.033,0.093,0.874
Why isn't Gaetz in prison for taking underage girls across state lines for sex? What in the hell is going on?!,-0.5499,0.1,0.195,0.705
And these are the same nut jobs who thought it was a good idea to first install a senile elder then boot him for a DEI hire whos race seems to suit any audience.This is why nobody watches woke media but woke,0.2382,0.049,0.0,0.951
It takes criminals to prosecute other criminals.,-0.8779,0.0,0.716,0.284
These leftys hate everybody!! FABC,-0.6467,0.0,0.517,0.483
"So,ABC, have fun quoting RINOs.",0.5106,0.452,0.0,0.548
"If I wanted to clean house in these unelected, all blue, corrupt, deep state agencies....I'd appoint the same people as Trump.  Hopefully they'll resign before the new Sheriff gets to town.",0.4588,0.155,0.069,0.776
Abc is biased. If only they would just report the news...,-0.2732,0.0,0.174,0.826
"So,",0.0,0.0,0.0,1.0
Trumps pick for AG an Elon pick?,0.0,0.0,0.0,1.0
"The Accusations against Gaetz were ALREADY proven to be nothing more than an Extortion Attempt...  That the family REFUSED to pay
THAT was why there was never any Charges.   Garland and the FBI were Violating SCOTUS Case Law 1964 Sullivan vs US.
Which prohibits Federal Agencies from getting involved in local  Public Meetings with elected official's.    Even if there were violence.
It would be entirely a local Police Matter.",-0.9012,0.041,0.182,0.778
Interesting that you’re protecting the COS. Very interesting.,0.6901,0.487,0.0,0.513
So far Trump has picked those a lot younger than he is. A new government turned over to a younger generation.,0.0,0.0,0.0,1.0
"This is what Republicans think is qualified to be AG  😂 :  Knowing he’s guilty, Republican Congressman Gaetz sought a pardon from Trump for Gaetz having sex with an underage girl + sex trafficking. Investigation started by AG Barr. 😭😂",-0.128,0.059,0.072,0.87
Go MATT!!! ✌️✌️,0.0,0.0,0.0,1.0
ABC your fake news political hacks your control by the Democrat party in the Democratic corporate elite American people have spoken,-0.1027,0.109,0.125,0.766
"Democrats; You lost, get a grip. Have some self respect. Try to keep your dignity!",0.5848,0.314,0.119,0.567
If you believe anything ABC is reporting on what Republican insiders are saying about Trump's decisions... then you are a fool,-0.4404,0.0,0.132,0.868
Hillary was absolutely 100% right! Deplorable!,0.0,0.0,0.0,1.0
Let’s gooo🎉🎉🎉🎉🎉,0.0,0.0,0.0,1.0
Democrats are terrified of Matt,-0.6124,0.0,0.5,0.5
Just ABC propaganda,-0.25,0.0,0.5,0.5
leave Gaetz alone he will get the corrupt people in the D O J .,-0.296,0.0,0.262,0.738
Why would you drain a swamp?,0.0,0.0,0.0,1.0
"Quid pro quo: ""Bury my DOJ investigations and you can bury yours""",0.0,0.0,0.0,1.0
Rats scurrying about 😂😂😂 i love it,0.6369,0.457,0.0,0.543
"Because he will exspose all you corrupt, lying evil doers. God bless Matt, Trump and all the Trump party. They weaponized the judicial system is the only reason they had problems.",-0.5994,0.176,0.244,0.58
"ABC definitely doesn't have any ""inside"" info. All they have is their own corporate shill, bought and paid for opinions. You and your fart sniffing ilk have done more damage to the country than 45-47 could ever do. Even if he was what you and your shill colleagues claim he is. Congratulations! Youre irrelevant",0.5266,0.112,0.057,0.831
"MSM- Remember everyone… a trump decision = bad, no matter what.",-0.6808,0.086,0.445,0.469
Gaetz Resigns 2 Days before the Release off his Child Sex Trafficking Ethics Report. Unfit for Congress but OK for Trump's Attorney General,0.5022,0.153,0.065,0.783
Matt is just proof the FBI doesn't do anything about a certain group of people.,0.2732,0.139,0.0,0.861
Ok that does it for me ! ABC newa thinks Matt Gaetz is not qualified to be A.G. Now I know Trump made the right choice !,0.4184,0.108,0.0,0.892
Not voting for Matt will be a political death sentence for them.,-0.5574,0.092,0.275,0.634
"Why mess around until after the election to report their findings on Gaetz?

Same as the border wall.  Why didn’t it get the priority to complete it before Trump finished his first term",-0.3612,0.0,0.072,0.928
Who gives a rats😮,0.0,0.0,0.0,1.0
"RIP Legacy Media 
And good riddance.",0.4404,0.367,0.0,0.633
Is he Bevis or Butthead?,0.0,0.0,0.0,1.0
It's coming,0.0,0.0,0.0,1.0
So where’s the inside part of this vid?,0.0,0.0,0.0,1.0
It is completely about LOYALTY!,0.7007,0.546,0.0,0.454
"...and the media begins the narrative to drag him through the mud. WE DO NOT BELIEVE YOU, WE DON'T LIKE YOU, WE WANT GEATZ TO EXPOSE YOU ALL.",-0.593,0.062,0.209,0.729
Ha Ha Ha! Thease producers should read comments.  Mabey they will realize that they Have ZERO CREDIBILITY!!!,0.811,0.374,0.0,0.626
"We don't care what you think.  MSM IS #FakeNews
You're immoral, dishonorable liars.",-0.8413,0.0,0.474,0.526
Maybe his next pick will M. Taylor for education secretary,0.0,0.0,0.0,1.0
"Hey guys...I know Trump is a convicted felon and he made president but...I thought we all had an unspoken agreement that if you were caught anywhere near the kiddie pool (like Gaetz was), you're done. Did...we just forget that?",0.3182,0.078,0.046,0.876
You fools think you know what Trump is thinking😂😂😂 too funny!,-0.1511,0.188,0.227,0.585
